Pinyin Name,herb-id
BAI YE MEI,H306
BAI YE MI ZI LAN,H307
BAI YE TENG,H308
BAI YE XIANG CHA CAI,H309
BAI YING SU,H310
BAI YOU,H311
BAI YU LAN,H312
BAI YU SHAN DOU,H313
BAI YUN HUA,H314
BAI ZHI,H315
BAI ZHI JIE,H316
BAI ZHI JIN GAO FEN,H317
BAI ZHI MA,H318
BAI ZHI YE,H319
BAI ZHU,H320
BAI ZHU SHU,H321
BAI ZI REN,H322
BAN BIAN LIAN,H323
BAN BIAN LIAN ZHUANG LI LU,H324
BAN BIAN QI,H325
BAN BIAN SU,H326
BAN DIAN XIAO QIU QIANG JUN.,H327
BAN GUAN MU MU JU,H328
BAN HUA WU TOU,H329
BAN JIU,H330
BAN JIU JU,H331
BAN JU CHI ZHUANG ZE LAN,H332
BAN KE HU JIAO,H333
BAN LAN,H334
BAN LAN GEN,H335
BAN LI,H336
BAN LI KE,H337
BAN MAO,H338
BAN PI AN,H339
BAN RUI TANG SONG CAO,H340
BAN WEN AN,H341
BAN WEN LU HUI,H342
BAN XIA,H343
BAN XIA QU,H344
BAN YE DI JIN,H345
BAN YE PING FENG CAO,H346
BAN YE PING PENG CAO,H347
BAN YUAN,H348
BAN ZHEN ZHONG HUA SHU.,H349
BAN ZHI LIAN,H350
BAN ZI MA HUANG,H351
BAN ZI MU,H352
BANG BING BEI SAN,H353
BANG GA,H354
BANG YE JUE ZAO,H355
BANG ZHUANG ZI JIN,H356
BAO BAN E GAO,H357
BAO CHUN HUA,H358
BAO CHUN SHI HU,H359
BAO E ZHANG YA CAI,H360
BAO GAI CAO,H361
BAO GAI LING ZHI,H362
BAO GAN JINGAO,H363
BAO GU,H364
BAO JING KU MAI CAI,H365
BAO JING TIAN JIE CAI,H366
BAO JING ZHANG YA CAI,H367
BAO MA ZI,H368
BAO MO HUI MAO DOU,H369
BAO PI GU,H370
BAO PIAN SHI CHE JU,H371
BAO PIAN SHU WEI CAO.,H372
BAO PIAN TU LA SHU,H373
BAO RUI SHAN YOU GAN,H374
BAO SHAN WU TOU,H375
BAO SHAN YOU GAN,H376
BAO SHI FEI YAN CAO,H377
BAO XING WEI MAO,H378
BAO YE XIANG CHA CAI,H379
BAO ZI GAN LAN,H380
BAR RI CAO,H381
BEI AI,H382
BEI CANG ZHU,H383
BEI CE JIN ZHAN HUA,H384
BEI DOU GEN,H385
BEI FANG DANG GUI,H386
BEI FANG GOU QI GEN PI,H387
BEI FANG WU TOU,H388
BEI FEI XUE SONG,H389
BEI FEN NAI AO LE MU.,H390
BEI HAI DANG GUI,H391
BEI HAI XIAN TAI CHONG,H392
BEI HE HUAN,H393
BEI HUANG HUA CAI,H394
BEI JIA ER TANG SONG CAO,H395
BEI JING  YANG,H396
BEI JING SHI WEI,H397
BEI KE SHAN,H398
BEI LI LU HUI,H399
